,School Name,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,AvgScrTotal,NumGE21,PctGE21,Adult Ed. HS Diploma (Count),Adult Ed. HS Diploma (Rate),AggregateLevel,County Name,District Name,Dropout (Count),Dropout (Rate),"Enrollment 
(Ages 5-17)","Enrollment 
(K-12)","FRPM Count 
(Ages 5-17)","FRPM Count 
(K-12)","Free Meal 
Count 
(Ages 5-17)","Free Meal 
Count 
(K-12)",GED Completer (Count),GED Completer (Rate),Golden State Seal Merit Diploma (Count),Golden State Seal Merit Diploma (Rate,Met UC/CSU Grad Req's (Rate),PctGE21,"Percent (%) 
Eligible FRPM 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(K-12)","Percent (%) 
Eligible Free 
(Ages 5-17)","Percent (%) 
Eligible Free 
(K-12)",Regular HS Diploma Graduates (Count),Regular HS Diploma Graduates (Rate)
71180,Corcoran High,Corcoran Joint Unified,Kings,170,48,16.0,17.0,17.0,17.0,16.75,9.0,18.75,0.0,0.0,,,,0.0,0.0,835,848,671,682,622,633,0.0,0.0,0.0,0.0,40.7,18.75,0.803592814,0.804245283,0.74491018,0.746462264,91.0,100.0
71232,Sierra Pacific High,Hanford Joint Union High,Kings,159,10,,,,,,,,0.0,0.0,,,,2.0,2.4,823,846,434,448,371,384,0.0,0.0,0.0,0.0,55.7,,0.527339004,0.529550827,0.450789793,0.45390070899999996,79.0,96.3
71296,Hanford West High,Hanford Joint Union High,Kings,307,11,,,,,,,,0.0,0.0,,,,0.0,0.0,1263,1297,823,845,705,725,0.0,0.0,0.0,0.0,56.2,,0.65162312,0.65150347,0.558194774,0.558982267,137.0,99.3
71360,Hanford High,Hanford Joint Union High,Kings,308,24,19.0,19.0,19.0,21.0,19.5,11.0,45.83,0.0,0.0,,,,1.0,0.7,1488,1523,979,1004,884,904,0.0,0.0,29.0,19.6,55.4,45.83,0.657930108,0.6592252129999999,0.594086022,0.5935653320000001,148.0,98.7
71420,Lemoore Middle College High,Lemoore Union High,Kings,54,6,,,,,,,,0.0,0.0,,,,0.0,0.0,242,246,69,70,57,57,0.0,0.0,0.0,0.0,100.0,,0.285123967,0.284552846,0.23553719,0.231707317,21.0,100.0
71468,Lemoore High,Lemoore Union High,Kings,416,83,19.0,21.0,19.0,19.0,19.5,37.0,44.58,0.0,0.0,,,,8.0,3.6,1805,1862,971,1006,797,824,0.0,0.0,0.0,0.0,44.6,44.58,0.537950139,0.54027927,0.44155124700000004,0.442534909,213.0,95.5
71536,Avenal High,Reef-Sunset Unified,Kings,155,65,16.0,16.0,17.0,17.0,16.5,12.0,18.46,0.0,0.0,,,,1.0,1.5,597,628,520,545,511,535,0.0,0.0,36.0,54.5,45.5,18.46,0.871021776,0.867834395,0.855946399,0.851910828,66.0,97.1
71580,Kelseyville High,Kelseyville Unified,Lake,126,57,19.0,21.0,19.0,20.0,19.75,25.0,43.86,0.0,0.0,,,,2.0,3.2,503,527,366,384,288,301,0.0,0.0,0.0,0.0,37.3,43.86,0.727634195,0.7286527509999999,0.5725646120000001,0.571157495,59.0,95.2
71648,Clear Lake High,Lakeport Unified,Lake,103,4,,,,,,,,0.0,0.0,,,,3.0,5.6,376,394,203,213,184,194,0.0,0.0,0.0,0.0,35.3,,0.539893617,0.540609137,0.489361702,0.492385787,51.0,94.4
71712,Middletown High,Middletown Unified,Lake,103,5,,,,,,,,0.0,0.0,,,,1.0,1.9,465,477,294,302,269,277,0.0,0.0,0.0,0.0,36.5,,0.632258065,0.63312369,0.578494624,0.5807127879999999,52.0,98.1
71764,Upper Lake High,Upper Lake Unified,Lake,66,19,19.0,19.0,18.0,18.0,18.5,4.0,21.05,0.0,0.0,,,,2.0,5.9,298,305,239,246,217,224,0.0,0.0,9.0,29.0,6.5,21.05,0.802013423,0.8065573770000001,0.728187919,0.73442623,31.0,91.2
71824,Lassen High,Lassen Union High,Lassen,187,27,21.0,22.0,22.0,22.0,21.75,17.0,62.96,0.0,0.0,,,,0.0,0.0,795,816,266,274,242,249,0.0,0.0,12.0,13.6,17.0,62.96,0.334591195,0.335784314,0.304402516,0.305147059,88.0,90.7
71944,L.A. County High School for the Arts,Los Angeles County Office of Education,Los Angeles,135,56,26.0,26.0,22.0,23.0,24.25,37.0,66.07,0.0,0.0,,,,4.0,5.2,531,550,95,99,83,87,0.0,0.0,0.0,0.0,61.6,66.07,0.17890772100000002,0.18,0.156308851,0.158181818,73.0,94.8
71992,International Polytechnic High,Los Angeles County Office of Education,Los Angeles,141,36,25.0,24.0,22.0,23.0,23.5,26.0,72.22,0.0,0.0,,,,2.0,2.7,543,547,198,199,157,158,0.0,0.0,0.0,0.0,97.2,72.22,0.364640884,0.36380255899999997,0.289134438,0.288848263,71.0,97.3
72048,Cerritos High,ABC Unified,Los Angeles,536,126,26.0,26.0,27.0,25.0,26.0,108.0,85.71,0.0,0.0,,,,0.0,0.0,2139,2186,678,690,538,548,0.0,0.0,119.0,47.8,78.7,85.71,0.316970547,0.315645014,0.251519402,0.250686185,249.0,96.9
72108,Artesia High,ABC Unified,Los Angeles,348,29,21.0,21.0,23.0,20.0,21.25,15.0,51.72,0.0,0.0,,,,0.0,0.0,1418,1482,1095,1135,985,1021,0.0,0.0,33.0,20.1,47.6,51.72,0.7722143859999999,0.76585695,0.6946403390000001,0.688933873,164.0,97.0
