,School Name,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,AvgScrTotal,NumGE21,PctGE21,Adult Ed. HS Diploma (Count),Adult Ed. HS Diploma (Rate),AggregateLevel,County Name,District Name,Dropout (Count),Dropout (Rate),"Enrollment 
(Ages 5-17)","Enrollment 
(K-12)","FRPM Count 
(Ages 5-17)","FRPM Count 
(K-12)","Free Meal 
Count 
(Ages 5-17)","Free Meal 
Count 
(K-12)",GED Completer (Count),GED Completer (Rate),Golden State Seal Merit Diploma (Count),Golden State Seal Merit Diploma (Rate,Met UC/CSU Grad Req's (Rate),PctGE21,"Percent (%) 
Eligible FRPM 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(K-12)","Percent (%) 
Eligible Free 
(Ages 5-17)","Percent (%) 
Eligible Free 
(K-12)",Regular HS Diploma Graduates (Count),Regular HS Diploma Graduates (Rate)
76228,Rosemead High,El Monte Union High,Los Angeles,440,99,24.0,24.0,25.0,24.0,24.25,77.0,77.78,0.0,0.0,,,,7.0,3.2,1718,1847,1400,1499,1177,1259,0.0,0.0,83.0,42.8,70.1,77.78,0.814901048,0.811586356,0.685098952,0.681645912,194.0,89.4
76288,South El Monte High,El Monte Union High,Los Angeles,306,71,20.0,20.0,20.0,20.0,20.0,32.0,45.07,0.0,0.0,,,,3.0,2.0,1288,1300,1166,1178,1035,1045,0.0,0.0,25.0,17.5,57.3,45.07,0.9052795029999999,0.9061538459999999,0.8035714290000001,0.803846154,143.0,94.7
76344,El Rancho High,El Rancho Unified,Los Angeles,602,257,18.0,19.0,20.0,19.0,19.0,91.0,35.41,0.0,0.0,,,,3.0,0.9,2339,2433,1558,1612,1352,1399,0.0,0.0,76.0,23.7,64.2,35.41,0.6660966220000001,0.662556515,0.578024797,0.575010275,321.0,98.5
76396,Arena High (Continuation),El Segundo Unified,Los Angeles,15,2,,,,,,,,0.0,0.0,,,,0.0,0.0,38,41,10,10,8,8,0.0,0.0,0.0,0.0,16.7,,0.263157895,0.243902439,0.21052631600000002,0.19512195100000002,12.0,100.0
76428,El Segundo High,El Segundo Unified,Los Angeles,260,120,25.0,26.0,24.0,24.0,24.75,99.0,82.5,0.0,0.0,,,,0.0,0.0,1168,1194,211,214,169,172,0.0,0.0,53.0,39.8,77.4,82.5,0.180650685,0.17922948100000002,0.144691781,0.144053601,133.0,99.3
76488,Crescenta Valley High,Glendale Unified,Los Angeles,648,194,27.0,26.0,26.0,25.0,26.0,162.0,83.51,0.0,0.0,,,,1.0,0.3,2590,2645,620,634,528,538,0.0,0.0,0.0,0.0,77.1,83.51,0.239382239,0.239697543,0.20386100399999998,0.203402647,315.0,96.9
76552,Glendale High,Glendale Unified,Los Angeles,557,33,23.0,24.0,24.0,23.0,23.5,26.0,78.79,0.0,0.0,,,,17.0,6.1,2173,2228,1515,1554,1309,1344,0.0,0.0,0.0,0.0,42.0,78.79,0.6971928209999999,0.697486535,0.602393005,0.6032315979999999,255.0,91.1
76616,Anderson W. Clark Magnet High,Glendale Unified,Los Angeles,275,26,26.0,25.0,27.0,25.0,25.75,23.0,88.46,0.0,0.0,,,,0.0,0.0,1113,1122,598,603,500,503,0.0,0.0,66.0,53.7,82.9,88.46,0.537286613,0.537433155,0.449236298,0.448306595,123.0,100.0
76668,Glendora High,Glendora Unified,Los Angeles,692,142,23.0,25.0,24.0,23.0,23.75,102.0,71.83,0.0,0.0,,,,0.0,0.0,2437,2532,657,685,555,582,0.0,0.0,146.0,41.2,69.5,71.83,0.269593763,0.270537125,0.227739023,0.22985782,354.0,98.9
76736,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,131,112,21.0,22.0,22.0,20.0,21.25,63.0,56.25,0.0,0.0,,,,0.0,0.0,546,561,443,458,380,395,0.0,0.0,47.0,62.7,77.3,56.25,0.8113553109999999,0.8163992870000001,0.6959706959999999,0.704099822,75.0,100.0
76784,Inglewood High,Inglewood Unified,Los Angeles,212,45,14.0,16.0,16.0,16.0,15.5,2.0,4.44,0.0,0.0,,,,12.0,8.7,780,838,604,644,557,596,0.0,0.0,0.0,0.0,20.3,4.44,0.7743589740000001,0.76849642,0.714102564,0.7112171840000001,123.0,89.1
76844,City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,82,44,18.0,19.0,18.0,17.0,18.0,13.0,29.55,0.0,0.0,,,,0.0,0.0,306,317,227,234,210,216,0.0,0.0,0.0,0.0,81.4,29.55,0.741830065,0.7381703470000001,0.68627451,0.681388013,43.0,100.0
76892,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,149,46,19.0,19.0,20.0,20.0,19.5,23.0,50.0,0.0,0.0,,,,3.0,4.3,613,634,576,596,538,558,0.0,0.0,14.0,20.9,85.1,50.0,0.9396411090000001,0.940063091,0.877650897,0.880126183,67.0,95.7
76928,Agoura High,Las Virgenes Unified,Los Angeles,560,197,27.0,27.0,26.0,25.0,26.25,179.0,90.86,0.0,0.0,,,,3.0,1.1,2009,2078,226,235,215,223,0.0,0.0,88.0,33.0,65.5,90.86,0.112493778,0.113089509,0.10701841699999999,0.107314726,267.0,98.2
76992,Calabasas High,Las Virgenes Unified,Los Angeles,486,247,27.0,26.0,25.0,25.0,25.75,214.0,86.64,0.0,0.0,,,,12.0,5.0,1957,2000,266,273,240,246,0.0,0.0,123.0,53.9,72.4,86.64,0.13592233,0.1365,0.12263668900000001,0.12300000000000001,228.0,95.0
77056,Environmental Charter High,Lawndale Elementary,Los Angeles,115,92,18.0,18.0,18.0,18.0,18.0,19.0,20.65,0.0,0.0,,,,0.0,0.0,512,523,422,433,356,365,0.0,0.0,18.0,42.9,100.0,20.65,0.82421875,0.82791587,0.6953125,0.69789675,42.0,95.5
77104,"Lennox Mathematics, Science and Technology Academy",Lennox,Los Angeles,143,135,17.0,18.0,19.0,18.0,18.0,35.0,25.93,0.0,0.0,,,,1.0,1.2,576,583,529,535,457,463,0.0,0.0,40.0,48.8,81.7,25.93,0.9184027779999999,0.9176672379999999,0.7934027779999999,0.7941680959999999,82.0,98.8
77144,Animo Leadership High,Lennox,Los Angeles,134,135,16.0,16.0,17.0,17.0,16.5,24.0,17.78,0.0,0.0,,,,1.0,1.5,626,634,598,605,526,532,0.0,0.0,33.0,49.3,100.0,17.78,0.955271565,0.954258675,0.8402555909999999,0.8391167190000001,67.0,98.5
77244,"Ernest S. McBride, Sr. High",Long Beach Unified,Los Angeles,165,17,23.0,23.0,22.0,23.0,22.75,11.0,64.71,0.0,0.0,,,,6.0,7.8,696,714,316,320,224,226,0.0,0.0,32.0,45.7,82.9,64.71,0.454022989,0.448179272,0.32183908,0.316526611,70.0,90.9
77304,Jordan High,Long Beach Unified,Los Angeles,670,121,16.0,17.0,18.0,17.0,17.0,22.0,18.18,0.0,0.0,,,,28.0,8.0,2549,2646,2222,2301,1906,1979,0.0,0.0,47.0,15.1,49.2,18.18,0.871714398,0.8696145120000001,0.7477442129999999,0.747921391,311.0,89.4
77376,Lakewood High,Long Beach Unified,Los Angeles,749,68,20.0,21.0,21.0,20.0,20.5,33.0,48.53,0.0,0.0,,,,18.0,4.5,3140,3196,1796,1819,1345,1361,0.0,0.0,54.0,14.4,58.9,48.53,0.571974522,0.569148936,0.428343949,0.425844806,375.0,93.5
77444,Millikan High,Long Beach Unified,Los Angeles,853,74,24.0,24.0,24.0,23.0,23.75,55.0,74.32,0.0,0.0,,,,22.0,5.0,3531,3605,1419,1454,1089,1118,0.0,0.0,171.0,42.2,74.6,74.32,0.401869159,0.40332871,0.308411215,0.310124827,405.0,92.9
77516,Polytechnic High,Long Beach Unified,Los Angeles,1047,239,25.0,25.0,24.0,23.0,24.25,177.0,74.06,0.0,0.0,,,,19.0,3.5,4033,4142,2456,2521,2109,2170,0.0,0.0,213.0,40.8,72.2,74.06,0.608975948,0.608643168,0.52293578,0.523901497,522.0,94.9
78060,Wilson High,Long Beach Unified,Los Angeles,889,71,22.0,22.0,21.0,21.0,21.5,40.0,56.34,0.0,0.0,,,,25.0,5.7,3606,3703,2180,2239,1790,1846,0.0,0.0,67.0,16.3,74.4,56.34,0.604547976,0.604644883,0.49639489700000006,0.49851471799999997,410.0,93.0
78132,California Academy of Mathematics and Science,Long Beach Unified,Los Angeles,163,43,28.0,27.0,28.0,27.0,27.5,41.0,95.35,0.0,0.0,,,,0.0,0.0,662,667,304,305,233,234,0.0,0.0,16.0,23.2,98.6,95.35,0.459214502,0.45727136399999996,0.351963746,0.350824588,69.0,100.0
78264,Cabrillo High,Long Beach Unified,Los Angeles,537,75,16.0,18.0,17.0,18.0,17.25,17.0,22.67,0.0,0.0,,,,38.0,13.8,2262,2331,1864,1916,1587,1633,0.0,0.0,28.0,11.9,52.5,22.67,0.824049514,0.821964822,0.701591512,0.7005577009999999,236.0,85.8
78544,Renaissance High School for the Arts,Long Beach Unified,Los Angeles,79,4,,,,,,,,0.0,0.0,,,,2.0,3.5,403,406,237,240,194,197,0.0,0.0,9.0,16.4,63.6,,0.58808933,0.591133005,0.481389578,0.485221675,55.0,96.5
78604,High Tech LA,Los Angeles Unified,Los Angeles,82,23,23.0,23.0,22.0,22.0,22.5,13.0,56.52,0.0,0.0,,,,0.0,0.0,390,394,192,194,141,143,0.0,0.0,0.0,0.0,93.1,56.52,0.492307692,0.492385787,0.361538462,0.362944162,29.0,100.0
78696,Central City Value,Los Angeles Unified,Los Angeles,112,15,18.0,18.0,17.0,17.0,17.5,5.0,33.33,0.0,0.0,,,,1.0,1.9,452,468,424,439,397,411,0.0,0.0,0.0,0.0,83.0,33.33,0.9380530970000001,0.9380341879999999,0.8783185840000001,0.878205128,53.0,98.1
78748,ICEF View Park Preparatory Charter High,Los Angeles Unified,Los Angeles,149,38,15.0,16.0,16.0,16.0,15.75,3.0,7.89,0.0,0.0,,,,11.0,13.1,594,605,427,436,396,405,0.0,0.0,0.0,0.0,62.5,7.89,0.718855219,0.720661157,0.666666667,0.669421488,72.0,85.7
78788,Oscar De La Hoya Animo Charter High,Los Angeles Unified,Los Angeles,137,17,22.0,22.0,21.0,21.0,21.5,9.0,52.94,0.0,0.0,,,,2.0,3.3,595,601,565,571,515,520,0.0,0.0,8.0,13.6,78.0,52.94,0.9495798320000001,0.950083195,0.865546218,0.8652246259999999,59.0,96.7
78828,Animo South Los Angeles Charter,Los Angeles Unified,Los Angeles,129,4,,,,,,,,0.0,0.0,,,,2.0,3.7,581,599,534,550,494,510,0.0,0.0,7.0,13.7,86.3,,0.919104991,0.918196995,0.850258176,0.851419032,51.0,94.4
78880,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,96,68,15.0,16.0,17.0,16.0,16.0,5.0,7.35,0.0,0.0,,,,12.0,25.0,302,330,291,318,266,293,0.0,0.0,0.0,0.0,100.0,7.35,0.963576159,0.9636363640000001,0.880794702,0.887878788,36.0,75.0
78928,Animo Venice Charter High,Los Angeles Unified,Los Angeles,147,134,16.0,16.0,17.0,16.0,16.25,17.0,12.69,0.0,0.0,,,,4.0,4.8,582,605,514,533,460,478,0.0,0.0,17.0,21.3,71.3,12.69,0.883161512,0.8809917359999999,0.790378007,0.790082645,80.0,95.2
78984,Animo Pat Brown,Los Angeles Unified,Los Angeles,150,139,16.0,16.0,18.0,17.0,16.75,25.0,17.99,0.0,0.0,,,,1.0,1.3,603,615,585,597,552,562,0.0,0.0,29.0,38.2,77.6,17.99,0.9701492540000001,0.970731707,0.915422886,0.913821138,76.0,98.7
79016,Orthopaedic Hospital,Los Angeles Unified,Los Angeles,151,68,19.0,20.0,19.0,20.0,19.5,24.0,35.29,0.0,0.0,,,,1.0,1.0,828,832,782,786,739,742,0.0,0.0,34.0,35.8,86.3,35.29,0.944444444,0.944711538,0.892512077,0.891826923,95.0,96.0
79068,Northridge Academy High,Los Angeles Unified,Los Angeles,219,13,,,,,,,,0.0,0.0,,,,3.0,2.7,1057,1080,770,785,645,656,0.0,0.0,33.0,30.3,64.2,,0.7284768209999999,0.726851852,0.610217597,0.6074074070000001,109.0,96.5
79128,Port of Los Angeles High,Los Angeles Unified,Los Angeles,219,67,22.0,22.0,22.0,21.0,21.75,45.0,67.16,0.0,0.0,,,,0.0,0.0,959,980,573,583,477,484,0.0,0.0,33.0,26.4,48.8,67.16,0.5974973929999999,0.594897959,0.49739311799999997,0.493877551,125.0,96.2
79188,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,143,222,16.0,16.0,17.0,16.0,16.25,30.0,13.51,0.0,0.0,,,,0.0,0.0,604,610,582,588,547,553,0.0,0.0,15.0,21.7,95.7,13.51,0.963576159,0.9639344259999999,0.9056291390000001,0.906557377,69.0,100.0
79228,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,157,169,17.0,17.0,17.0,17.0,17.0,26.0,15.38,0.0,0.0,,,,0.0,0.0,584,595,548,558,497,506,0.0,0.0,33.0,37.9,98.9,15.38,0.9383561640000001,0.9378151259999999,0.8510273970000001,0.850420168,87.0,100.0
79260,Santee Education Complex,Los Angeles Unified,Los Angeles,292,16,16.0,18.0,18.0,17.0,17.25,4.0,25.0,0.0,0.0,,,,16.0,9.9,1773,1857,1703,1773,1652,1721,0.0,0.0,36.0,26.7,73.3,25.0,0.960518895,0.9547657509999999,0.931754089,0.926763597,135.0,83.9
79320,South East High,Los Angeles Unified,Los Angeles,489,195,19.0,19.0,18.0,18.0,18.5,58.0,29.74,0.0,0.0,,,,19.0,6.3,2032,2070,1906,1942,1719,1750,0.0,0.0,60.0,22.1,65.8,29.74,0.9379921259999999,0.9381642509999999,0.845964567,0.845410628,272.0,90.4
79376,Maywood Academy High,Los Angeles Unified,Los Angeles,257,21,17.0,19.0,18.0,18.0,18.0,7.0,33.33,0.0,0.0,,,,6.0,4.1,1216,1263,1140,1187,1038,1081,0.0,0.0,19.0,14.2,81.3,33.33,0.9375,0.939825812,0.853618421,0.8558986540000001,134.0,91.8
79428,New Village Girls Academy,Los Angeles Unified,Los Angeles,27,5,,,,,,,,0.0,0.0,,,,26.0,61.9,69,84,68,82,66,80,0.0,0.0,0.0,0.0,92.9,,0.985507246,0.976190476,0.956521739,0.9523809520000001,14.0,33.3
79476,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,117,123,17.0,17.0,19.0,18.0,17.75,33.0,26.83,0.0,0.0,,,,0.0,0.0,433,441,405,413,381,389,0.0,0.0,17.0,30.4,100.0,26.83,0.935334873,0.936507937,0.879907621,0.882086168,56.0,98.2
79520,Animo Ralph Bunche Charter High,Los Angeles Unified,Los Angeles,149,23,15.0,17.0,17.0,18.0,16.75,2.0,8.7,0.0,0.0,,,,2.0,2.6,597,618,586,607,566,586,0.0,0.0,10.0,13.9,70.8,8.7,0.981574539,0.982200647,0.9480737020000001,0.948220065,72.0,94.7
79556,Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,143,42,16.0,17.0,18.0,17.0,17.0,4.0,9.52,0.0,0.0,,,,2.0,2.8,599,608,588,597,545,554,0.0,0.0,30.0,44.1,80.9,9.52,0.98163606,0.981907895,0.90984975,0.9111842109999999,68.0,94.4
79600,Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,129,44,18.0,19.0,18.0,17.0,18.0,11.0,25.0,0.0,0.0,,,,5.0,7.6,567,579,537,548,504,515,0.0,0.0,10.0,16.4,70.5,25.0,0.947089947,0.9464594129999999,0.8888888890000001,0.8894645940000001,61.0,92.4
79648,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,120,145,17.0,18.0,18.0,19.0,18.0,39.0,26.9,0.0,0.0,,,,0.0,0.0,571,581,491,498,428,435,0.0,0.0,20.0,35.7,96.4,26.9,0.859894921,0.857142857,0.7495621720000001,0.7487091220000001,56.0,96.6
79692,East Valley Senior High,Los Angeles Unified,Los Angeles,114,11,,,,,,,,0.0,0.0,,,,4.0,7.8,510,542,469,496,441,468,0.0,0.0,8.0,17.8,60.0,,0.919607843,0.9151291509999999,0.864705882,0.863468635,45.0,88.2
79748,Arleta High,Los Angeles Unified,Los Angeles,353,1,,,,,,,,0.0,0.0,,,,2.0,1.2,1370,1418,1225,1266,1104,1144,0.0,0.0,43.0,26.4,87.1,,0.8941605840000001,0.89280677,0.805839416,0.8067700990000001,163.0,97.0
79804,Panorama High,Los Angeles Unified,Los Angeles,275,35,15.0,17.0,16.0,17.0,16.25,4.0,11.43,0.0,0.0,,,,18.0,12.2,1102,1182,1046,1119,997,1065,0.0,0.0,34.0,26.6,69.5,11.43,0.949183303,0.9467005079999999,0.904718693,0.901015228,128.0,86.5
79872,Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,122,54,18.0,18.0,18.0,18.0,18.0,12.0,22.22,0.0,0.0,,,,5.0,8.1,503,532,453,479,402,425,0.0,0.0,0.0,0.0,100.0,22.22,0.9005964209999999,0.90037594,0.799204771,0.79887218,54.0,87.1
79920,West Adams Preparatory High,Los Angeles Unified,Los Angeles,305,59,15.0,16.0,17.0,17.0,16.25,7.0,11.86,0.0,0.0,,,,21.0,13.2,1363,1491,1314,1431,1277,1390,0.0,0.0,26.0,19.8,68.7,11.86,0.96404989,0.959758551,0.936903888,0.932260228,131.0,82.4
79976,Discovery Charter Preparatory School #2,Los Angeles Unified,Los Angeles,49,4,,,,,,,,0.0,0.0,,,,2.0,6.9,214,230,171,183,157,169,0.0,0.0,0.0,0.0,100.0,,0.7990654209999999,0.7956521740000001,0.73364486,0.734782609,27.0,93.1
80012,Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,85,97,14.0,15.0,16.0,16.0,15.25,9.0,9.28,0.0,0.0,,,,1.0,2.0,383,393,353,363,335,344,0.0,0.0,5.0,10.2,100.0,9.28,0.921671018,0.923664122,0.874673629,0.875318066,49.0,96.1
80052,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,242,51,16.0,17.0,18.0,17.0,17.0,8.0,15.69,0.0,0.0,,,,10.0,9.3,905,1021,869,983,810,918,0.0,0.0,21.0,22.1,69.5,15.69,0.960220994,0.962781587,0.895027624,0.899118511,95.0,88.8
80116,Helen Bernstein High,Los Angeles Unified,Los Angeles,108,27,15.0,18.0,17.0,17.0,16.75,5.0,18.52,0.0,0.0,,,,9.0,17.0,539,602,453,500,432,478,0.0,0.0,9.0,24.3,59.5,18.52,0.840445269,0.8305647840000001,0.80148423,0.794019934,37.0,69.8
80176,Los Angeles High School of the Arts,Los Angeles Unified,Los Angeles,95,1,,,,,,,,0.0,0.0,,,,10.0,17.9,410,430,379,398,357,376,0.0,0.0,11.0,25.0,70.5,,0.924390244,0.925581395,0.870731707,0.874418605,44.0,78.6
80236,School for the Visual Arts and Humanities,Los Angeles Unified,Los Angeles,65,6,,,,,,,,0.0,0.0,,,,8.0,23.5,395,421,376,398,355,377,0.0,0.0,4.0,19.0,57.1,,0.951898734,0.9453681709999999,0.898734177,0.895486936,21.0,61.8
80288,New Millennium Secondary,Los Angeles Unified,Los Angeles,36,5,,,,,,,,0.0,0.0,,,,2.0,8.0,160,167,76,79,73,76,0.0,0.0,8.0,40.0,90.0,,0.475,0.47305389200000003,0.45625,0.45508982,20.0,80.0
80344,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,359,120,14.0,14.0,16.0,15.0,14.75,9.0,7.5,0.0,0.0,,,,44.0,25.9,1391,1532,1338,1467,1298,1420,0.0,0.0,11.0,11.8,61.3,7.5,0.961897915,0.957571802,0.933141625,0.92689295,93.0,54.7
80400,Sun Valley High,Los Angeles Unified,Los Angeles,103,5,,,,,,,,0.0,0.0,,,,6.0,10.2,392,422,356,377,324,344,0.0,0.0,5.0,9.6,63.5,,0.908163265,0.8933649290000001,0.826530612,0.815165877,52.0,88.1
80448,Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,273,42,17.0,19.0,19.0,18.0,18.25,10.0,23.81,0.0,0.0,,,,3.0,2.3,1069,1088,1009,1027,950,968,0.0,0.0,41.0,33.3,79.7,23.81,0.943872778,0.943933824,0.88868101,0.889705882,123.0,93.9
80508,Daniel Pearl Journalism & Communications Magnet,Los Angeles Unified,Los Angeles,73,32,23.0,24.0,21.0,21.0,22.25,21.0,65.63,0.0,0.0,,,,0.0,0.0,350,355,229,233,195,198,0.0,0.0,20.0,51.3,82.1,65.63,0.654285714,0.656338028,0.557142857,0.557746479,39.0,100.0
80564,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,83,109,14.0,15.0,16.0,15.0,15.0,8.0,7.34,0.0,0.0,,,,1.0,2.0,311,319,275,282,244,250,0.0,0.0,10.0,21.7,100.0,7.34,0.8842443729999999,0.8840125390000001,0.7845659159999999,0.78369906,46.0,93.9
80608,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,93,18,17.0,18.0,18.0,18.0,17.75,6.0,33.33,0.0,0.0,,,,2.0,3.2,398,409,375,384,346,355,0.0,0.0,14.0,23.7,69.5,33.33,0.942211055,0.9388753059999999,0.8693467340000001,0.86797066,59.0,95.2
80660,PUC Lakeview Charter High,Los Angeles Unified,Los Angeles,115,109,17.0,17.0,17.0,17.0,17.0,16.0,14.68,0.0,0.0,,,,0.0,0.0,451,462,350,356,317,323,0.0,0.0,0.0,0.0,100.0,14.68,0.776053215,0.7705627709999999,0.702882483,0.6991341990000001,58.0,98.3
80700,Alliance Susan and Eric Smidt Technology High,Los Angeles Unified,Los Angeles,114,133,14.0,15.0,16.0,15.0,15.0,11.0,8.27,0.0,0.0,,,,3.0,5.6,522,540,490,507,458,474,0.0,0.0,14.0,28.0,100.0,8.27,0.938697318,0.938888889,0.8773946359999999,0.877777778,50.0,92.6
80748,Alliance Ted K. Tajima High,Los Angeles Unified,Los Angeles,58,17,12.0,13.0,15.0,15.0,13.75,0.0,0.0,0.0,0.0,,,,1.0,3.2,321,335,285,295,278,287,0.0,0.0,7.0,28.0,100.0,0.0,0.887850467,0.880597015,0.8660436140000001,0.856716418,25.0,80.6
80788,Valley Academy of Arts and Sciences,Los Angeles Unified,Los Angeles,270,50,20.0,21.0,19.0,19.0,19.75,19.0,38.0,0.0,0.0,,,,0.0,0.0,1134,1151,731,742,589,598,0.0,0.0,68.0,43.0,73.4,38.0,0.644620811,0.64465682,0.519400353,0.519548219,158.0,99.4
80852,Dr. Maya Angelou Community High,Los Angeles Unified,Los Angeles,141,31,14.0,15.0,16.0,17.0,15.5,4.0,12.9,0.0,0.0,,,,24.0,20.7,973,1035,916,970,894,948,0.0,0.0,14.0,16.3,66.3,12.9,0.9414182940000001,0.9371980679999999,0.918807811,0.9159420290000001,86.0,74.1
80896,Synergy Quantum Academy,Los Angeles Unified,Los Angeles,89,39,16.0,18.0,18.0,17.0,17.25,8.0,20.51,0.0,0.0,,,,5.0,8.9,542,567,528,552,504,528,0.0,0.0,11.0,25.0,93.2,20.51,0.9741697420000001,0.9735449740000001,0.9298892990000001,0.9312169309999999,44.0,78.6
80932,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,122,27,17.0,17.0,17.0,17.0,17.0,2.0,7.41,0.0,0.0,,,,3.0,6.0,503,521,489,507,468,486,0.0,0.0,7.0,16.3,67.4,7.41,0.972166998,0.973128599,0.930417495,0.932821497,43.0,86.0
80984,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,115,155,14.0,15.0,16.0,16.0,15.25,15.0,9.68,0.0,0.0,,,,2.0,3.6,529,542,502,513,469,479,0.0,0.0,13.0,24.1,100.0,9.68,0.948960302,0.946494465,0.88657845,0.883763838,54.0,96.4
81020,STEM Academy at Bernstein High,Los Angeles Unified,Los Angeles,137,78,18.0,19.0,20.0,19.0,19.0,25.0,32.05,0.0,0.0,,,,2.0,3.4,550,565,543,558,489,502,0.0,0.0,27.0,47.4,98.2,32.05,0.987272727,0.987610619,0.8890909090000001,0.888495575,57.0,96.6
81080,Math and Science College Preparatory,Los Angeles Unified,Los Angeles,87,90,15.0,15.0,17.0,16.0,15.75,3.0,3.33,0.0,0.0,,,,1.0,2.2,528,541,493,505,451,463,0.0,0.0,11.0,26.8,100.0,3.33,0.9337121209999999,0.933456562,0.854166667,0.8558225509999999,41.0,91.1
81128,Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,Los Angeles,138,38,18.0,20.0,18.0,18.0,18.5,10.0,26.32,0.0,0.0,,,,0.0,0.0,677,685,642,650,583,590,0.0,0.0,24.0,33.3,87.5,26.32,0.9483013290000001,0.948905109,0.861152142,0.8613138690000001,72.0,97.3
81172,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,111,36,21.0,21.0,20.0,21.0,20.75,19.0,52.78,0.0,0.0,,,,1.0,1.5,488,506,316,326,261,271,0.0,0.0,20.0,30.3,65.2,52.78,0.6475409839999999,0.644268775,0.534836066,0.5355731229999999,66.0,97.1
81228,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,48,63,16.0,18.0,17.0,18.0,17.25,11.0,17.46,0.0,0.0,,,,1.0,5.0,336,342,258,263,232,234,0.0,0.0,5.0,29.4,100.0,17.46,0.767857143,0.7690058479999999,0.69047619,0.684210526,17.0,85.0
81272,Humanities and Arts (HARTS) Academy of Los Angeles,Los Angeles Unified,Los Angeles,114,18,15.0,17.0,16.0,17.0,16.25,2.0,11.11,0.0,0.0,,,,9.0,12.5,464,489,396,418,351,368,0.0,0.0,20.0,32.3,58.1,11.11,0.853448276,0.8548057259999999,0.756465517,0.7525562370000001,62.0,86.1
81328,Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,100,45,15.0,16.0,17.0,17.0,16.25,5.0,11.11,0.0,0.0,,,,5.0,10.9,426,454,409,435,395,418,0.0,0.0,10.0,25.6,79.5,11.11,0.960093897,0.95814978,0.927230047,0.9207048459999999,39.0,84.8
81372,Early College Academy-LA Trade Tech College,Los Angeles Unified,Los Angeles,95,1,,,,,,,,0.0,0.0,,,,7.0,15.6,125,187,119,176,113,168,0.0,0.0,4.0,11.1,22.2,,0.9520000000000001,0.9411764709999999,0.904,0.8983957220000001,36.0,80.0
81420,Executive Preparatory Academy of Finance,Los Angeles Unified,Los Angeles,62,17,14.0,15.0,16.0,16.0,15.25,0.0,0.0,0.0,0.0,,,,6.0,17.1,192,203,144,151,129,135,0.0,0.0,5.0,17.2,100.0,0.0,0.75,0.743842365,0.671875,0.665024631,29.0,82.9
81464,Pathways Community,Los Angeles Unified,Los Angeles,109,44,13.0,14.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,345,359,338,352,322,335,0.0,0.0,0.0,0.0,22.9,0.0,0.979710145,0.9805013929999999,0.933333333,0.9331476320000001,48.0,96.0
81508,Valor Academy High,Los Angeles Unified,Los Angeles,97,81,15.0,16.0,17.0,17.0,16.25,11.0,13.58,0.0,0.0,,,,0.0,0.0,458,473,418,432,359,370,0.0,0.0,0.0,0.0,2.3,13.58,0.912663755,0.913319239,0.783842795,0.782241015,44.0,97.8
81552,Camino Nuevo High #2,Los Angeles Unified,Los Angeles,111,87,15.0,16.0,17.0,16.0,16.0,9.0,10.34,0.0,0.0,,,,2.0,3.8,448,462,431,445,413,427,0.0,0.0,31.0,62.0,100.0,10.34,0.9620535709999999,0.9632034629999999,0.921875,0.924242424,50.0,94.3
81640,NAVA College Preparatory Academy,Los Angeles Unified,Los Angeles,191,29,17.0,18.0,19.0,18.0,18.0,6.0,20.69,0.0,0.0,,,,4.0,4.4,754,774,731,750,701,720,0.0,0.0,17.0,20.0,61.2,20.69,0.969496021,0.968992248,0.929708223,0.9302325579999999,85.0,93.4
