sname,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
Oakland High,Oakland Unified,Alameda,339,76,19,20,20,20,27,35.53,2017-18
Oakland Technical High,Oakland Unified,Alameda,474,114,24,24,24,23,79,69.30,2017-18
Skyline High,Oakland Unified,Alameda,404,63,20,22,21,20,30,47.62,2017-18
Oakland School for the Arts,Oakland Unified,Alameda,103,33,25,26,21,23,23,69.70,2017-18
Madison Park Academy 6-12,Oakland Unified,Alameda,76,17,15,19,18,18,3,17.65,2017-18
"Independent Study, Sojourner Truth",Oakland Unified,Alameda,59,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Piedmont City Unified,Alameda,209,91,30,30,27,28,86,94.51,2017-18
Millennium High Alternative,Piedmont City Unified,Alameda,18,6,*,*,*,*,*,*,2017-18
Piedmont High,Piedmont City Unified,Alameda,188,85,31,30,28,29,83,97.65,2017-18
,San Leandro Unified,Alameda,785,101,20,21,20,21,46,45.54,2017-18
Lincoln High (Continuation),San Leandro Unified,Alameda,99,1,*,*,*,*,*,*,2017-18
San Leandro High,San Leandro Unified,Alameda,681,100,20,21,20,21,46,46.00,2017-18
,San Lorenzo Unified,Alameda,1023,175,21,21,21,21,82,46.86,2017-18
East Bay Arts High,San Lorenzo Unified,Alameda,40,2,*,*,*,*,*,*,2017-18
KIPP King Collegiate High,San Lorenzo Unified,Alameda,114,82,21,21,20,21,34,41.46,2017-18
Arroyo High,San Lorenzo Unified,Alameda,430,38,24,25,25,25,30,78.95,2017-18
San Lorenzo High,San Lorenzo Unified,Alameda,333,53,18,19,19,19,16,30.19,2017-18
,Dublin Unified,Alameda,582,209,26,26,26,25,175,83.73,2017-18
Dublin High,Dublin Unified,Alameda,549,209,26,26,26,25,175,83.73,2017-18
,Pleasanton Unified,Alameda,1259,556,28,28,28,27,513,92.27,2017-18
Foothill High,Pleasanton Unified,Alameda,517,246,29,28,28,27,231,93.90,2017-18
Amador Valley High,Pleasanton Unified,Alameda,649,310,28,28,28,27,282,90.97,2017-18
       ,     ,Alpine,0,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
       ,     ,Amador,349,56,23,25,23,23,39,69.64,2017-18
,Amador County Unified,Amador,322,56,23,25,23,23,39,69.64,2017-18
Independence High (Continuation),Amador County Unified,Amador,30,1,*,*,*,*,*,*,2017-18
Amador High,Amador County Unified,Amador,155,17,26,27,25,25,13,76.47,2017-18
Argonaut High,Amador County Unified,Amador,124,38,22,24,22,23,26,68.42,2017-18
       ,     ,Butte,2408,233,23,24,23,23,156,66.95,2017-18
,Butte County Office of Education,Butte,196,9,*,*,*,*,*,*,2017-18
CORE Butte Charter,Butte County Office of Education,Butte,90,9,*,*,*,*,*,*,2017-18
Come Back Butte Charter,Butte County Office of Education,Butte,64,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Learning Community Charter,Butte County Office of Education,Butte,29,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Biggs Unified,Butte,48,1,*,*,*,*,*,*,2017-18
Biggs High,Biggs Unified,Butte,48,1,*,*,*,*,*,*,2017-18
,Chico Unified,Butte,1113,140,24,24,24,23,102,72.86,2017-18
Inspire School of Arts and Sciences,Chico Unified,Butte,92,1,*,*,*,*,*,*,2017-18
Oakdale,Chico Unified,Butte,51,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Chico High,Chico Unified,Butte,463,56,23,24,24,23,39,69.64,2017-18
Pleasant Valley High,Chico Unified,Butte,441,83,24,25,24,23,62,74.70,2017-18
,Durham Unified,Butte,61,3,*,*,*,*,*,*,2017-18
Durham High,Durham Unified,Butte,61,3,*,*,*,*,*,*,2017-18
Pivot Charter School North Valley,Golden Feather Union Elementary,Butte,19,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,Oroville Union High,Butte,517,28,19,20,21,20,12,42.86,2017-18
Las Plumas High,Oroville Union High,Butte,243,9,*,*,*,*,*,*,2017-18
Oroville High,Oroville Union High,Butte,193,19,18,18,20,19,7,36.84,2017-18
,Paradise Unified,Butte,303,22,22,25,23,24,15,68.18,2017-18
Paradise eLearning Academy,Paradise Unified,Butte,23,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Paradise Senior High,Paradise Unified,Butte,218,21,22,26,23,24,15,71.43,2017-18
HomeTech Charter,Paradise Unified,Butte,17,1,*,*,*,*,*,*,2017-18
,Gridley Unified,Butte,143,30,22,23,24,22,18,60.00,2017-18
Gridley High,Gridley Unified,Butte,124,30,22,23,24,22,18,60.00,2017-18
       ,     ,Calaveras,445,57,24,25,23,23,45,78.95,2017-18
,Calaveras County Office of Education,Calaveras,52,2,*,*,*,*,*,*,2017-18
Mountain Oaks,Calaveras County Office of Education,Calaveras,45,2,*,*,*,*,*,*,2017-18
,Bret Harte Union High,Calaveras,163,19,26,27,24,24,17,89.47,2017-18
Bret Harte Union High,Bret Harte Union High,Calaveras,142,19,26,27,24,24,17,89.47,2017-18
,Calaveras Unified,Calaveras,230,36,22,24,22,23,27,75.00,2017-18
Calaveras High,Calaveras Unified,Calaveras,203,36,22,24,22,23,27,75.00,2017-18
       ,     ,Colusa,345,69,18,19,19,19,25,36.23,2017-18
,Colusa Unified,Colusa,109,20,19,20,22,21,11,55.00,2017-18
Colusa Alternative Home,Colusa Unified,Colusa,19,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Colusa High,Colusa Unified,Colusa,83,20,19,20,22,21,11,55.00,2017-18
,Maxwell Unified,Colusa,21,2,*,*,*,*,*,*,2017-18
Maxwell Sr High,Maxwell Unified,Colusa,21,2,*,*,*,*,*,*,2017-18
,Pierce Joint Unified,Colusa,107,16,20,20,20,20,6,37.50,2017-18
Pierce High,Pierce Joint Unified,Colusa,102,16,20,20,20,20,6,37.50,2017-18
,Williams Unified,Colusa,98,31,15,17,17,17,7,22.58,2017-18
Williams Junior/Senior High,Williams Unified,Colusa,90,31,15,17,17,17,7,22.58,2017-18
       ,     ,Contra Costa,14304,3978,25,25,24,24,2882,72.45,2017-18
,Contra Costa County Office of Education,Contra Costa,611,236,21,22,21,21,128,54.24,2017-18
Making Waves Academy,Contra Costa County Office of Education,Contra Costa,71,70,16,16,17,17,13,18.57,2017-18
Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,446,166,23,25,23,23,115,69.28,2017-18
