sname,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
Animo Pat Brown,Los Angeles Unified,Los Angeles,150,139,16,16,18,17,25,17.99,2017-18
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,121,138,17,18,17,17,32,23.19,2017-18
Orthopaedic Hospital,Los Angeles Unified,Los Angeles,151,68,19,20,19,20,24,35.29,2017-18
Northridge Academy High,Los Angeles Unified,Los Angeles,219,13,*,*,*,*,*,*,2017-18
International Studies Learning Center at Legacy Hi,Los Angeles Unified,Los Angeles,76,21,19,21,21,19,6,28.57,2017-18
Port of Los Angeles High,Los Angeles Unified,Los Angeles,219,67,22,22,22,21,45,67.16,2017-18
CHAMPS - Charter HS of Arts-Multimedia & Performin,Los Angeles Unified,Los Angeles,186,79,22,23,20,20,44,55.70,2017-18
Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,143,222,16,16,17,16,30,13.51,2017-18
Larchmont Charter,Los Angeles Unified,Los Angeles,77,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,157,169,17,17,17,17,26,15.38,2017-18
Pacific Boulevard,Los Angeles Unified,Los Angeles,21,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Santee Education Complex,Los Angeles Unified,Los Angeles,292,16,16,18,18,17,4,25.00,2017-18
South East High,Los Angeles Unified,Los Angeles,489,195,19,19,18,18,58,29.74,2017-18
Maywood Academy High,Los Angeles Unified,Los Angeles,257,21,17,19,18,18,7,33.33,2017-18
Los Angeles Academy of Arts & Enterprise Charter,Los Angeles Unified,Los Angeles,47,40,13,15,16,15,1,2.50,2017-18
New Village Girls Academy,Los Angeles Unified,Los Angeles,27,5,*,*,*,*,*,*,2017-18
Alliance Patti And Peter Neuwirth Leadership Acade,Los Angeles Unified,Los Angeles,146,282,15,16,16,16,24,8.51,2017-18
Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,117,123,17,17,19,18,33,26.83,2017-18
Animo Ralph Bunche Charter High,Los Angeles Unified,Los Angeles,149,23,15,17,17,18,2,8.70,2017-18
Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,143,42,16,17,18,17,4,9.52,2017-18
Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,129,44,18,19,18,17,11,25.00,2017-18
Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,133,147,16,17,17,17,24,16.33,2017-18
Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,120,145,17,18,18,19,39,26.90,2017-18
School of Business and Tourism at Contreras Learni,Los Angeles Unified,Los Angeles,75,13,*,*,*,*,*,*,2017-18
East Valley Senior High,Los Angeles Unified,Los Angeles,114,11,*,*,*,*,*,*,2017-18
Arleta High,Los Angeles Unified,Los Angeles,353,1,*,*,*,*,*,*,2017-18
Panorama High,Los Angeles Unified,Los Angeles,275,35,15,17,16,17,4,11.43,2017-18
Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,122,54,18,18,18,18,12,22.22,2017-18
Contreras Learning Center-Los Angeles School of Gl,Los Angeles Unified,Los Angeles,77,19,16,17,18,18,3,15.79,2017-18
West Adams Preparatory High,Los Angeles Unified,Los Angeles,305,59,15,16,17,17,7,11.86,2017-18
Discovery Charter Preparatory School #2,Los Angeles Unified,Los Angeles,49,4,*,*,*,*,*,*,2017-18
Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,85,97,14,15,16,16,9,9.28,2017-18
Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,242,51,16,17,18,17,8,15.69,2017-18
Helen Bernstein High,Los Angeles Unified,Los Angeles,108,27,15,18,17,17,5,18.52,2017-18
APEX Academy,Los Angeles Unified,Los Angeles,89,35,14,15,15,16,3,8.57,2017-18
Alliance Piera Barbaglia Shaheen Health Services A,Los Angeles Unified,Los Angeles,93,103,14,15,16,16,10,9.71,2017-18
Alliance Leichtman-Levine Family Foundation Enviro,Los Angeles Unified,Los Angeles,129,161,18,19,18,18,44,27.33,2017-18
Magnolia Science Academy 4,Los Angeles Unified,Los Angeles,25,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Contreras Learning Center-Academic Leadership Comm,Los Angeles Unified,Los Angeles,81,61,15,16,17,16,4,6.56,2017-18
Los Angeles High School of the Arts,Los Angeles Unified,Los Angeles,95,1,*,*,*,*,*,*,2017-18
School for the Visual Arts and Humanities,Los Angeles Unified,Los Angeles,65,6,*,*,*,*,*,*,2017-18
New Millennium Secondary,Los Angeles Unified,Los Angeles,36,5,*,*,*,*,*,*,2017-18
Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,359,120,14,14,16,15,9,7.50,2017-18
Sun Valley High,Los Angeles Unified,Los Angeles,103,5,*,*,*,*,*,*,2017-18
New Open World Academy K-12,Los Angeles Unified,Los Angeles,71,30,15,16,16,17,1,3.33,2017-18
UCLA Community K-12,Los Angeles Unified,Los Angeles,91,30,18,18,18,17,8,26.67,2017-18
Ramon C. Cortines School of Visual and Performing,Los Angeles Unified,Los Angeles,351,102,20,20,19,19,37,36.27,2017-18
Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,273,42,17,19,19,18,10,23.81,2017-18
New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,38,34,13,14,15,15,0,0.00,2017-18
Daniel Pearl Journalism & Communications Magnet,Los Angeles Unified,Los Angeles,73,32,23,24,21,21,21,65.63,2017-18
Ambassador-Global Leadership,Los Angeles Unified,Los Angeles,100,17,20,21,18,20,6,35.29,2017-18
Alliance Cindy and Bill Simon Technology Academy H,Los Angeles Unified,Los Angeles,112,160,14,15,16,15,7,4.38,2017-18
Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,83,109,14,15,16,15,8,7.34,2017-18
"Math, Science, & Technology Magnet Academy at Roos",Los Angeles Unified,Los Angeles,101,56,19,20,19,19,20,35.71,2017-18
Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,93,18,17,18,18,18,6,33.33,2017-18
Humanitas Academy of Art and Technology at Esteban,Los Angeles Unified,Los Angeles,103,52,17,18,17,18,11,21.15,2017-18
Social Justice Leadership Academy at Esteban E. To,Los Angeles Unified,Los Angeles,65,7,*,*,*,*,*,*,2017-18
East Los Angeles Renaissance Academy at Esteban E.,Los Angeles Unified,Los Angeles,82,39,16,17,17,17,5,12.82,2017-18
Engineering and Technology Academy at Esteban E. T,Los Angeles Unified,Los Angeles,100,1,*,*,*,*,*,*,2017-18
PUC Lakeview Charter High,Los Angeles Unified,Los Angeles,115,109,17,17,17,17,16,14.68,2017-18
Alliance Susan and Eric Smidt Technology High,Los Angeles Unified,Los Angeles,114,133,14,15,16,15,11,8.27,2017-18
Alliance Ted K. Tajima High,Los Angeles Unified,Los Angeles,58,17,12,13,15,15,0,0.00,2017-18
Valley Academy of Arts and Sciences,Los Angeles Unified,Los Angeles,270,50,20,21,19,19,19,38.00,2017-18
Cesar E. Chavez Learning Academy - Arts/Theatre/En,Los Angeles Unified,Los Angeles,115,70,15,17,17,17,10,14.29,2017-18
Cesar E. Chavez Learning Academies-Social Justice,Los Angeles Unified,Los Angeles,113,42,16,18,17,17,8,19.05,2017-18
Cesar E. Chavez Learning Academies-Academy of Scie,Los Angeles Unified,Los Angeles,112,38,16,18,18,18,7,18.42,2017-18
Cesar E. Chavez Learning Academies-Technology Prep,Los Angeles Unified,Los Angeles,111,22,15,17,16,17,1,4.55,2017-18
Los Angeles River at Sonia Sotomayor Learning Acad,Los Angeles Unified,Los Angeles,56,1,*,*,*,*,*,*,2017-18
School of History and Dramatic Arts at Sonia Sotom,Los Angeles Unified,Los Angeles,71,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Dr. Maya Angelou Community High,Los Angeles Unified,Los Angeles,141,31,14,15,16,17,4,12.90,2017-18
Public Service Community at Diego Rivera Learning,Los Angeles Unified,Los Angeles,137,8,*,*,*,*,*,*,2017-18
Communication and Technology at Diego Rivera Learn,Los Angeles Unified,Los Angeles,112,72,12,14,15,14,2,2.78,2017-18
Diego Rivera Learning Complex Green Design STEAM A,Los Angeles Unified,Los Angeles,101,4,*,*,*,*,*,*,2017-18
Performing Arts Community at Diego Rivera Learning,Los Angeles Unified,Los Angeles,118,35,14,16,16,15,2,5.71,2017-18
Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,125,60,16,18,17,17,11,18.33,2017-18
Synergy Quantum Academy,Los Angeles Unified,Los Angeles,89,39,16,18,18,17,8,20.51,2017-18
Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,122,27,17,17,17,17,2,7.41,2017-18
Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,115,155,14,15,16,16,15,9.68,2017-18
PUC Early College Academy for Leaders and Scholars,Los Angeles Unified,Los Angeles,82,79,17,17,17,17,12,15.19,2017-18
Alliance Margaret M. Bloomfield Technology Academy,Los Angeles Unified,Los Angeles,117,129,15,16,17,16,15,11.63,2017-18
Ednovate - USC Hybrid High,Los Angeles Unified,Los Angeles,118,132,20,20,19,20,49,37.12,2017-18
STEM Academy at Bernstein High,Los Angeles Unified,Los Angeles,137,78,18,19,20,19,25,32.05,2017-18
Math and Science College Preparatory,Los Angeles Unified,Los Angeles,87,90,15,15,17,16,3,3.33,2017-18
Hilda L. Solis Learning Academy School of Technolo,Los Angeles Unified,Los Angeles,52,17,16,17,18,16,3,17.65,2017-18
Augustus F. Hawkins High A Critical Design and Gam,Los Angeles Unified,Los Angeles,100,39,12,14,16,16,2,5.13,2017-18
Augustus F. Hawkins High B Community Health Advoca,Los Angeles Unified,Los Angeles,104,42,13,14,15,14,0,0.00,2017-18
Augustus F. Hawkins High C Responsible Indigenous,Los Angeles Unified,Los Angeles,96,19,14,16,15,15,2,10.53,2017-18
Linda Esperanza Marquez High A Huntington Park Ins,Los Angeles Unified,Los Angeles,145,56,16,17,17,16,6,10.71,2017-18
Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,Los Angeles,138,38,18,20,18,18,10,26.32,2017-18
Linda Esperanza Marquez High C School of Social Ju,Los Angeles Unified,Los Angeles,128,17,18,18,17,18,2,11.76,2017-18
"Science, Technology, Engineering, Arts and Mathema",Los Angeles Unified,Los Angeles,114,22,16,17,17,17,3,13.64,2017-18
Visual and Performing Arts at Legacy High School C,Los Angeles Unified,Los Angeles,82,8,*,*,*,*,*,*,2017-18
Academy for Multilingual Arts and Science at Mervy,Los Angeles Unified,Los Angeles,144,38,13,15,16,15,2,5.26,2017-18
Academies of Education and Empowerment at Carson H,Los Angeles Unified,Los Angeles,154,32,19,21,18,19,12,37.50,2017-18
Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,111,36,21,21,20,21,19,52.78,2017-18
Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,48,63,16,18,17,18,11,17.46,2017-18
Humanities and Arts (HARTS) Academy of Los Angeles,Los Angeles Unified,Los Angeles,114,18,15,17,16,17,2,11.11,2017-18
Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,100,45,15,16,17,17,5,11.11,2017-18
Early College Academy-LA Trade Tech College,Los Angeles Unified,Los Angeles,95,1,*,*,*,*,*,*,2017-18
Executive Preparatory Academy of Finance,Los Angeles Unified,Los Angeles,62,17,14,15,16,16,0,0.00,2017-18
Pathways Community,Los Angeles Unified,Los Angeles,109,44,13,14,15,14,0,0.00,2017-18
Valor Academy High,Los Angeles Unified,Los Angeles,97,81,15,16,17,17,11,13.58,2017-18
Camino Nuevo High #2,Los Angeles Unified,Los Angeles,111,87,15,16,17,16,9,10.34,2017-18
Boyle Heights STEM High,Los Angeles Unified,Los Angeles,39,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
NAVA College Preparatory Academy,Los Angeles Unified,Los Angeles,191,29,17,18,19,18,6,20.69,2017-18
TEACH Tech Charter High,Los Angeles Unified,Los Angeles,36,4,*,*,*,*,*,*,2017-18
Sylmar Biotech Health Academy,Los Angeles Unified,Los Angeles,67,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
University Preparatory Value High,Los Angeles Unified,Los Angeles,0,1,*,*,*,*,*,*,2017-18
PUC Triumph Charter Academy and PUC Triumph Charte,Los Angeles Unified,Los Angeles,108,90,15,16,17,16,13,14.44,2017-18
PUC CALS Middle School and Early College High,Los Angeles Unified,Los Angeles,59,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
View Park Continuation,Los Angeles Unified,Los Angeles,33,6,*,*,*,*,*,*,2017-18
Pueblo de Los Angeles Continuation,Los Angeles Unified,Los Angeles,9,1,*,*,*,*,*,*,2017-18
Harold McAlister High (Opportunity),Los Angeles Unified,Los Angeles,30,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Phineas Banning Senior High,Los Angeles Unified,Los Angeles,479,116,17,18,18,18,23,19.83,2017-18
Thomas Riley High,Los Angeles Unified,Los Angeles,16,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Bell Senior High,Los Angeles Unified,Los Angeles,626,172,18,19,19,18,58,33.72,2017-18
Belmont Senior High,Los Angeles Unified,Los Angeles,199,34,16,18,17,17,4,11.76,2017-18
Birmingham Community Charter High,Los Angeles Unified,Los Angeles,808,110,18,20,19,19,38,34.55,2017-18
Cheviot Hills Continuation,Los Angeles Unified,Los Angeles,16,1,*,*,*,*,*,*,2017-18
Canoga Park Senior High,Los Angeles Unified,Los Angeles,233,61,19,20,19,19,18,29.51,2017-18
Carson Senior High,Los Angeles Unified,Los Angeles,355,44,17,18,17,17,8,18.18,2017-18
Chatsworth Charter High,Los Angeles Unified,Los Angeles,463,47,22,22,21,21,26,55.32,2017-18
Valley Alternative Magnet,Los Angeles Unified,Los Angeles,42,1,*,*,*,*,*,*,2017-18
Grover Cleveland Charter High,Los Angeles Unified,Los Angeles,640,117,25,26,24,24,86,73.50,2017-18
"Crenshaw Science, Technology, Engineering, Math an",Los Angeles Unified,Los Angeles,207,37,14,16,16,16,5,13.51,2017-18
Susan Miller Dorsey Senior High,Los Angeles Unified,Los Angeles,270,69,15,16,16,16,4,5.80,2017-18
Eagle Rock High,Los Angeles Unified,Los Angeles,449,77,25,25,24,24,53,68.83,2017-18
El Camino Real Charter High,Los Angeles Unified,Los Angeles,987,133,25,25,24,24,102,76.69,2017-18
Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles,220,97,26,27,26,25,80,82.47,2017-18
Downtown Business High,Los Angeles Unified,Los Angeles,219,121,20,20,21,20,54,44.63,2017-18
Fairfax Senior High,Los Angeles Unified,Los Angeles,493,53,21,23,22,21,31,58.49,2017-18
John H. Francis Polytechnic,Los Angeles Unified,Los Angeles,635,70,18,19,21,20,24,34.29,2017-18
King/Drew Medical Magnet High,Los Angeles Unified,Los Angeles,348,202,18,19,19,19,66,32.67,2017-18
Benjamin Franklin Senior High,Los Angeles Unified,Los Angeles,274,129,18,19,20,18,42,32.56,2017-18
John C. Fremont Senior High,Los Angeles Unified,Los Angeles,388,30,16,17,17,16,5,16.67,2017-18
Sherman Oaks Center for Enriched Studies,Los Angeles Unified,Los Angeles,240,65,24,24,23,23,43,66.15,2017-18
Gardena Senior High,Los Angeles Unified,Los Angeles,318,59,17,18,17,18,14,23.73,2017-18
James A. Garfield Senior High,Los Angeles Unified,Los Angeles,594,291,17,18,19,18,66,22.68,2017-18
Granada Hills Charter High,Los Angeles Unified,Los Angeles,1139,250,26,26,25,25,209,83.60,2017-18
Ulysses S. Grant Senior High,Los Angeles Unified,Los Angeles,401,25,20,20,20,19,12,48.00,2017-18
Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,584,181,23,23,21,21,98,54.14,2017-18
Hollywood Senior High,Los Angeles Unified,Los Angeles,336,38,21,22,21,20,15,39.47,2017-18
Huntington Park Senior High,Los Angeles Unified,Los Angeles,380,105,15,16,16,17,7,6.67,2017-18
Thomas Jefferson Senior High,Los Angeles Unified,Los Angeles,124,61,15,16,16,16,5,8.20,2017-18
David Starr Jordan Senior High,Los Angeles Unified,Los Angeles,125,32,13,15,16,14,1,3.13,2017-18
Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,246,39,19,20,22,20,17,43.59,2017-18
Los Angeles Senior High,Los Angeles Unified,Los Angeles,239,30,17,18,19,19,8,26.67,2017-18
Manual Arts Senior High,Los Angeles Unified,Los Angeles,321,94,15,17,16,16,11,11.70,2017-18
John Marshall Senior High,Los Angeles Unified,Los Angeles,529,100,23,24,22,22,62,62.00,2017-18
James Monroe High,Los Angeles Unified,Los Angeles,457,43,19,21,19,19,15,34.88,2017-18
Nathaniel Narbonne Senior High,Los Angeles Unified,Los Angeles,485,91,18,19,19,18,31,34.07,2017-18
North Hollywood Senior High,Los Angeles Unified,Los Angeles,566,89,25,25,24,24,54,60.67,2017-18
Reseda Senior High,Los Angeles Unified,Los Angeles,394,44,20,21,20,20,19,43.18,2017-18
Theodore Roosevelt Senior High,Los Angeles Unified,Los Angeles,329,100,16,17,17,17,19,19.00,2017-18
San Fernando Senior High,Los Angeles Unified,Los Angeles,493,94,17,19,19,18,26,27.66,2017-18
San Pedro Senior High,Los Angeles Unified,Los Angeles,557,84,20,21,21,20,42,50.00,2017-18
South Gate Senior High,Los Angeles Unified,Los Angeles,597,220,17,18,18,18,43,19.55,2017-18
Sylmar Charter High,Los Angeles Unified,Los Angeles,413,62,17,19,19,18,17,27.42,2017-18
Taft Charter High,Los Angeles Unified,Los Angeles,575,90,23,24,23,22,58,64.44,2017-18
University Senior High,Los Angeles Unified,Los Angeles,389,95,20,21,21,20,46,48.42,2017-18
Van Nuys Senior High,Los Angeles Unified,Los Angeles,530,85,24,25,24,24,61,71.76,2017-18
Venice Senior High,Los Angeles Unified,Los Angeles,432,100,22,23,23,22,67,67.00,2017-18
Verdugo Hills Senior High,Los Angeles Unified,Los Angeles,293,25,20,21,21,20,14,56.00,2017-18
George Washington Preparatory High,Los Angeles Unified,Los Angeles,222,24,15,18,16,17,2,8.33,2017-18
WESM Health/Sports Medicine,Los Angeles Unified,Los Angeles,234,65,19,20,18,19,22,33.85,2017-18
Woodrow Wilson Senior High,Los Angeles Unified,Los Angeles,317,125,17,18,17,18,30,24.00,2017-18
John F. Kennedy High,Los Angeles Unified,Los Angeles,478,57,19,21,20,20,24,42.11,2017-18
Francisco Bravo Medical Magnet High,Los Angeles Unified,Los Angeles,401,121,22,22,22,22,75,61.98,2017-18
Youth Opportunities Unlimited,Los Angeles Unified,Los Angeles,68,2,*,*,*,*,*,*,2017-18
Palisades Charter High,Los Angeles Unified,Los Angeles,716,223,27,28,26,25,182,81.61,2017-18
City of Angels,Los Angeles Unified,Los Angeles,404,6,*,*,*,*,*,*,2017-18
Los Angeles Leadership Academy,Los Angeles Unified,Los Angeles,48,30,16,19,17,18,9,30.00,2017-18
Elizabeth Learning Center,Los Angeles Unified,Los Angeles,151,19,19,20,18,18,7,36.84,2017-18
Thirty-Second Street USC Performing Arts,Los Angeles Unified,Los Angeles,69,16,20,21,19,20,8,50.00,2017-18
Vaughn Next Century Learning Center,Los Angeles Unified,Los Angeles,151,26,20,23,19,20,17,65.38,2017-18
Robert Fulton College Preparatory,Los Angeles Unified,Los Angeles,171,49,18,19,18,19,16,32.65,2017-18
Foshay Learning Center,Los Angeles Unified,Los Angeles,171,20,18,20,18,17,4,20.00,2017-18
Sun Valley Magnet,Los Angeles Unified,Los Angeles,64,24,16,17,18,18,5,20.83,2017-18
PUC Community Charter Middle and PUC Community Cha,Los Angeles Unified,Los Angeles,101,96,16,16,18,17,18,18.75,2017-18
,Lynwood Unified,Los Angeles,1133,229,17,18,17,17,39,17.03,2017-18
Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles,352,119,16,17,17,17,15,12.61,2017-18
Pathway Independent Study,Lynwood Unified,Los Angeles,114,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Lynwood High,Lynwood Unified,Los Angeles,497,110,17,19,18,18,24,21.82,2017-18
,Monrovia Unified,Los Angeles,476,92,23,23,22,22,55,59.78,2017-18
Monrovia High,Monrovia Unified,Los Angeles,402,92,23,23,22,22,55,59.78,2017-18
,Montebello Unified,Los Angeles,2482,331,19,20,19,19,119,35.95,2017-18
Applied Technology Center,Montebello Unified,Los Angeles,111,10,*,*,*,*,*,*,2017-18
Schurr High,Montebello Unified,Los Angeles,644,75,21,22,22,22,43,57.33,2017-18
Bell Gardens High,Montebello Unified,Los Angeles,709,193,18,19,18,19,54,27.98,2017-18
Montebello High,Montebello Unified,Los Angeles,683,53,20,20,20,18,17,32.08,2017-18
,Norwalk-La Mirada Unified,Los Angeles,1335,190,19,20,19,19,75,39.47,2017-18
John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,294,33,18,20,19,19,13,39.39,2017-18
La Mirada High,Norwalk-La Mirada Unified,Los Angeles,422,39,21,22,22,21,21,53.85,2017-18
Norwalk High,Norwalk-La Mirada Unified,Los Angeles,489,118,19,20,19,19,41,34.75,2017-18
,Palmdale Elementary,Los Angeles,355,31,22,22,21,20,15,48.39,2017-18
Antelope Valley Learning Academy,Palmdale Elementary,Los Angeles,139,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Palmdale Aerospace Academy,Palmdale Elementary,Los Angeles,177,30,22,22,21,21,15,50.00,2017-18
Guidance Charter,Palmdale Elementary,Los Angeles,39,1,*,*,*,*,*,*,2017-18
,Palos Verdes Peninsula Unified,Los Angeles,1094,551,28,27,27,26,499,90.56,2017-18
Rancho del Mar High (Continuation),Palos Verdes Peninsula Unified,Los Angeles,39,3,*,*,*,*,*,*,2017-18
Palos Verdes Peninsula High,Palos Verdes Peninsula Unified,Los Angeles,590,266,28,28,28,27,249,93.61,2017-18
Palos Verdes High,Palos Verdes Peninsula Unified,Los Angeles,465,282,27,27,26,26,249,88.30,2017-18
,Paramount Unified,Los Angeles,1279,80,20,21,21,21,36,45.00,2017-18
Paramount High,Paramount Unified,Los Angeles,1112,80,20,21,21,21,36,45.00,2017-18
,Pasadena Unified,Los Angeles,1485,230,21,22,21,21,113,49.13,2017-18
Aveson Global Leadership Academy,Pasadena Unified,Los Angeles,58,16,21,22,18,19,5,31.25,2017-18
CIS Academy,Pasadena Unified,Los Angeles,111,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Learning Works,Pasadena Unified,Los Angeles,158,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Blair High,Pasadena Unified,Los Angeles,154,42,19,21,20,20,17,40.48,2017-18
Marshall Fundamental,Pasadena Unified,Los Angeles,214,36,25,25,23,23,25,69.44,2017-18
John Muir High,Pasadena Unified,Los Angeles,190,32,17,18,18,17,8,25.00,2017-18
Rose City High (Continuation),Pasadena Unified,Los Angeles,115,1,*,*,*,*,*,*,2017-18
Pasadena High,Pasadena Unified,Los Angeles,466,103,22,23,22,21,58,56.31,2017-18
,Pomona Unified,Los Angeles,1928,337,19,19,19,19,106,31.45,2017-18
School of Extended Educational Options,Pomona Unified,Los Angeles,191,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Ganesha High,Pomona Unified,Los Angeles,219,75,17,17,18,18,13,17.33,2017-18
Garey High,Pomona Unified,Los Angeles,395,52,18,18,19,18,14,26.92,2017-18
Pomona High,Pomona Unified,Los Angeles,310,74,18,18,18,18,19,25.68,2017-18
Diamond Ranch High,Pomona Unified,Los Angeles,405,112,22,22,20,21,56,50.00,2017-18
Village Academy High School at Indian Hill,Pomona Unified,Los Angeles,74,16,18,18,19,18,3,18.75,2017-18
Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,129,4,*,*,*,*,*,*,2017-18
Palomares Academy of Health Science,Pomona Unified,Los Angeles,42,4,*,*,*,*,*,*,2017-18
,San Marino Unified,Los Angeles,305,144,29,28,29,27,134,93.06,2017-18
San Marino High,San Marino Unified,Los Angeles,301,144,29,28,29,27,134,93.06,2017-18
,Santa Monica-Malibu Unified,Los Angeles,902,349,26,26,25,25,280,80.23,2017-18
Santa Monica High,Santa Monica-Malibu Unified,Los Angeles,713,303,26,26,25,25,241,79.54,2017-18
Malibu High,Santa Monica-Malibu Unified,Los Angeles,151,46,27,25,25,24,39,84.78,2017-18
,South Pasadena Unified,Los Angeles,391,161,29,28,28,27,146,90.68,2017-18
South Pasadena Senior High,South Pasadena Unified,Los Angeles,390,161,29,28,28,27,146,90.68,2017-18
,Temple City Unified,Los Angeles,548,155,28,27,28,26,141,90.97,2017-18
Temple City High,Temple City Unified,Los Angeles,525,155,28,27,28,26,141,90.97,2017-18
,Torrance Unified,Los Angeles,2003,511,24,25,24,24,389,76.13,2017-18
North High,Torrance Unified,Los Angeles,440,87,22,23,24,23,58,66.67,2017-18
South High,Torrance Unified,Los Angeles,483,160,26,26,26,25,132,82.50,2017-18
Torrance High,Torrance Unified,Los Angeles,490,83,21,22,22,21,47,56.63,2017-18
West High,Torrance Unified,Los Angeles,481,181,26,26,25,25,152,83.98,2017-18
,West Covina Unified,Los Angeles,1075,96,20,21,21,20,45,46.88,2017-18
California Virtual Academy @ Los Angeles,West Covina Unified,Los Angeles,234,7,*,*,*,*,*,*,2017-18
Edgewood High,West Covina Unified,Los Angeles,204,20,19,21,20,20,8,40.00,2017-18
West Covina High,West Covina Unified,Los Angeles,527,68,20,21,21,20,33,48.53,2017-18
,Whittier Union High,Los Angeles,3192,504,20,21,21,20,239,47.42,2017-18
California High,Whittier Union High,Los Angeles,649,72,21,23,22,22,43,59.72,2017-18
La Serna High,Whittier Union High,Los Angeles,741,96,23,24,23,23,67,69.79,2017-18
Pioneer High,Whittier Union High,Los Angeles,345,89,17,19,21,19,30,33.71,2017-18
Santa Fe High,Whittier Union High,Los Angeles,591,145,19,20,21,21,66,45.52,2017-18
Whittier High,Whittier Union High,Los Angeles,468,102,18,19,20,19,33,32.35,2017-18
Sierra Vista High (Alternative),Whittier Union High,Los Angeles,183,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
,William S. Hart Union High,Los Angeles,4357,859,25,25,24,24,669,77.88,2017-18
Golden Valley High,William S. Hart Union High,Los Angeles,462,49,22,23,22,22,33,67.35,2017-18
West Ranch High,William S. Hart Union High,Los Angeles,585,185,28,27,27,26,166,89.73,2017-18
Mission View Public,William S. Hart Union High,Los Angeles,57,1,*,*,*,*,*,*,2017-18
Santa Clarita Valley International,William S. Hart Union High,Los Angeles,70,13,*,*,*,*,*,*,2017-18
Canyon High,William S. Hart Union High,Los Angeles,520,78,20,21,21,21,38,48.72,2017-18
Saugus High,William S. Hart Union High,Los Angeles,570,149,25,25,24,24,119,79.87,2017-18
Learning Post High (Alternative),William S. Hart Union High,Los Angeles,61,2,*,*,*,*,*,*,2017-18
William S. Hart High,William S. Hart Union High,Los Angeles,545,118,25,25,24,24,91,77.12,2017-18
Bowman (Jereann) High (Continuation),William S. Hart Union High,Los Angeles,319,1,*,*,*,*,*,*,2017-18
Valencia High,William S. Hart Union High,Los Angeles,798,228,25,25,24,24,182,79.82,2017-18
Opportunities for Learning - Santa Clarita,William S. Hart Union High,Los Angeles,241,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
Academy of the Canyons,William S. Hart Union High,Los Angeles,100,11,*,*,*,*,*,*,2017-18
,Compton Unified,Los Angeles,1403,775,14,15,15,16,47,6.06,2017-18
Lifeline Education Charter,Compton Unified,Los Angeles,52,36,12,14,15,14,0,0.00,2017-18
Centennial High,Compton Unified,Los Angeles,211,145,13,14,15,14,6,4.14,2017-18
Compton High,Compton Unified,Los Angeles,353,274,14,16,16,16,22,8.03,2017-18
